dim0,dim1,tissue
-7.0364814,-126.482994,Haematopoietic and Lymphoid
-17.787947,-128.54753,Haematopoietic and Lymphoid
-17.836397,-128.51245,Haematopoietic and Lymphoid
-17.797993,-128.5037,Haematopoietic and Lymphoid
-32.11187,12.745979,Skin
-32.2771,12.34995,Skin
-31.735662,12.382158,Skin
69.566284,-52.50001,Lung
69.10114,-52.006298,Lung
69.05358,-52.243793,Lung
-5.396856,-130.1998,Haematopoietic and Lymphoid
-6.032096,-130.41882,Haematopoietic and Lymphoid
-5.8097873,-130.1291,Haematopoietic and Lymphoid
-3.701065,10.908603,Kidney
-3.695304,10.916236,Kidney
-3.6977894,10.922543,Kidney
-6.144058,78.1984,Breast
-5.8934913,77.813644,Breast
-5.5695276,78.28758,Breast
-1.0834997,61.06196,Breast
-1.0777912,61.06757,Breast
-1.0817523,61.068027,Breast
-73.48516,77.757164,Head and Neck
-73.48498,77.766266,Head and Neck
-73.4755,77.75199,Head and Neck
-15.906113,-134.1214,Haematopoietic and Lymphoid
-16.239347,-134.17293,Haematopoietic and Lymphoid
-16.002148,-134.7189,Haematopoietic and Lymphoid
62.91878,-53.94673,Other tissue
62.88382,-54.28282,Other tissue
63.458126,-54.069866,Other tissue
-70.13562,77.656586,Cervix
-70.15519,77.72282,Cervix
-70.15311,77.71286,Cervix
-83.48201,80.20988,Ovary
-83.47088,80.73462,Ovary
-83.83542,80.42434,Ovary
-30.48777,-135.3027,Haematopoietic and Lymphoid
-30.022745,-134.78563,Haematopoietic and Lymphoid
-30.979616,-134.75356,Haematopoietic and Lymphoid
15.347428,78.08881,Large Intestine
15.537603,78.57114,Large Intestine
15.072747,78.42445,Large Intestine
45.95111,-79.254486,Control_HEK293T
39.33957,-76.18672,Control_HEK293T
54.079094,-82.97877,Control_HEK293T
48.987617,-86.549446,Control_HEK293T
129.64355,28.667686,Control_HEK293T
144.73752,39.29662,Control_HEK293T
135.08997,35.996616,Control_HEK293T
139.17847,47.39699,Control_HEK293T
-35.455612,15.387773,Soft Tissue
-35.891796,15.570169,Soft Tissue
-35.845097,15.251377,Soft Tissue
-21.374584,-128.75296,Haematopoietic and Lymphoid
-21.267336,-129.1048,Haematopoietic and Lymphoid
-21.102634,-128.52167,Haematopoietic and Lymphoid
-39.924667,14.4045725,Liver
-39.55498,14.595098,Liver
6.534234,-127.21903,Haematopoietic and Lymphoid
6.148971,-127.30285,Haematopoietic and Lymphoid
6.2800536,-127.53018,Haematopoietic and Lymphoid
-6.9741173,-126.763596,Haematopoietic and Lymphoid
-6.731846,-126.49689,Haematopoietic and Lymphoid
-7.1630607,-126.56135,Haematopoietic and Lymphoid
-17.817879,-128.57283,Haematopoietic and Lymphoid
-17.642471,-128.8673,Haematopoietic and Lymphoid
-17.657316,-128.32938,Haematopoietic and Lymphoid
-3.450691,11.240816,Kidney
-3.7389433,10.8833065,Kidney
-1.0500968,61.407177,Breast
-1.0461956,61.036705,Breast
-73.6059,77.66277,Head and Neck
-73.43873,77.756516,Head and Neck
-73.482895,78.21539,Head and Neck
-70.1498,77.74728,Cervix
-69.7968,77.88769,Cervix
-70.38505,78.05875,Cervix
57.924282,-71.49156,Control_HEK293T
52.49229,-87.52757,Control_HEK293T
143.06992,44.890003,Control_HEK293T
134.9794,36.038685,Control_HEK293T
135.50008,43.76793,Control_HEK293T
-34.10892,8.9248085,Central Nervous System
-33.9147,8.709991,Central Nervous System
-33.591022,8.978364,Central Nervous System
4.124857,-124.85784,Haematopoietic and Lymphoid
3.9673479,-125.1248,Haematopoietic and Lymphoid
3.7978654,-125.10927,Haematopoietic and Lymphoid
64.40758,-22.020334,Peripheral Nervous System
64.47847,-21.667486,Peripheral Nervous System
64.0745,-21.872793,Peripheral Nervous System
29.279335,7.945577,Central Nervous System
29.244717,7.505835,Central Nervous System
29.421083,8.088667,Central Nervous System
-78.3404,71.29789,Biliary Tract
-78.55206,71.36156,Biliary Tract
-78.57044,71.796555,Biliary Tract
-14.582915,89.471596,Lung
-14.363998,89.105095,Lung
-14.18262,89.422195,Lung
-9.559306,88.654945,Lung
-9.66834,88.28433,Lung
-9.254855,88.43307,Lung
45.030746,-11.192772,Peripheral Nervous System
44.765453,-11.557774,Peripheral Nervous System
45.05046,-11.584753,Peripheral Nervous System
2.6219223,7.147194,Lung
2.8187232,6.970385,Lung
2.9093907,7.429355,Lung
57.799263,-74.68597,Control_HEK293T
48.58352,-85.62911,Control_HEK293T
158.19266,39.54917,Control_HEK293T
151.56578,37.8996,Control_HEK293T
-13.189281,71.765884,Ovary
-12.968422,71.752045,Ovary
-12.947332,71.50605,Ovary
-77.626526,80.89389,Liver
-77.79825,80.36902,Liver
-77.85976,80.36471,Liver
-10.941409,18.363443,Bladder
-10.453802,18.234669,Bladder
-10.788591,18.07823,Bladder
-81.185074,75.36529,Lung
-80.94622,75.31528,Lung
-81.14334,75.67291,Lung
79.25198,-14.602717,Lung
79.04493,-14.906195,Lung
79.31245,-14.827667,Lung
-98.08981,49.77851,Ovary
-97.93866,49.9824,Ovary
-98.33282,49.942802,Ovary
-77.49508,76.20062,Pancreas
-77.50969,76.20005,Pancreas
-77.446976,76.58668,Pancreas
-21.27459,89.8837,Cervix
-21.650362,89.90402,Cervix
-21.565266,89.993256,Cervix
-24.264477,94.020325,Esophagus
-23.904356,93.92877,Esophagus
-23.71276,94.18741,Esophagus
65.46692,-26.124813,Peripheral Nervous System
65.474045,-26.076006,Peripheral Nervous System
65.25249,-25.806568,Peripheral Nervous System
54.797657,-85.91426,Control_HEK293T
54.796715,-87.09531,Control_HEK293T
140.63968,28.941765,Control_HEK293T
-33.91082,8.757598,Central Nervous System
-33.90853,8.762648,Central Nervous System
-33.904785,8.729763,Central Nervous System
3.972649,-124.93003,Haematopoietic and Lymphoid
3.9727092,-124.93198,Haematopoietic and Lymphoid
3.9889565,-124.931755,Haematopoietic and Lymphoid
64.36388,-21.978003,Peripheral Nervous System
64.36025,-21.9609,Peripheral Nervous System
64.34246,-21.945236,Peripheral Nervous System
29.271189,7.9302173,Central Nervous System
29.249414,7.93138,Central Nervous System
29.276188,7.9361625,Central Nervous System
-78.55236,71.37361,Biliary Tract
-78.54533,71.38404,Biliary Tract
-78.581474,71.38585,Biliary Tract
-14.376178,89.36933,Lung
-14.363635,89.37693,Lung
-14.369115,89.35101,Lung
-9.487351,88.484825,Lung
-9.482783,88.50924,Lung
-9.485529,88.48514,Lung
44.878044,-11.451381,Peripheral Nervous System
44.876396,-11.459873,Peripheral Nervous System
44.87593,-11.458511,Peripheral Nervous System
2.639487,7.155008,Lung
2.6187713,7.1692553,Lung
2.6006765,7.172516,Lung
57.039875,-83.346436,Control_HEK293T
53.989147,-82.22766,Control_HEK293T
126.69377,19.146341,Control_HEK293T
150.99324,22.710043,Control_HEK293T
-12.860079,71.80939,Ovary
-12.928829,71.74392,Ovary
-12.952133,71.71773,Ovary
-77.84396,80.34748,Liver
-77.81138,80.38127,Liver
-77.811844,80.37152,Liver
-10.830931,18.165422,Bladder
-10.768383,18.184547,Bladder
-10.766104,18.187035,Bladder
-81.20345,75.34946,Lung
-81.211205,75.340454,Lung
-81.204216,75.34575,Lung
79.323135,-14.8461685,Lung
79.38627,-14.892736,Lung
79.30945,-14.837718,Lung
-98.09036,49.77867,Ovary
-98.079926,49.73775,Ovary
-98.07081,49.702305,Ovary
-77.475586,76.2015,Pancreas
-77.48177,76.1945,Pancreas
-77.255295,76.008026,Pancreas
-21.568579,90.095764,Cervix
